chr	band	reads
12	p13.1	0
12	p12.3	0
12	p12.2	0
12	p12.1	0
12	p11.23	0
12	p11.22	0
12	p11.21	0
12	p11.1	0
12	q11	0
12	q12	0
12	q13.11	0
12	q13.12	0
12	q13.13	0
12	q13.2	0
12	q13.3	0
12	q14.1	0
12	q14.2	0
12	q14.3	0
12	q15	0
12	q21.1	0
12	q21.2	0
12	q21.31	0
12	q21.32	0
12	q21.33	0
12	q22	0
12	q23.1	0
12	q23.2	0
12	q23.3	0
12	q24.11	0
12	q24.12	0
12	q24.13	0
12	q24.21	0
12	q24.22	0
12	q24.23	0
12	q24.31	0
12	q24.32	0
12	q24.33	0
13	p13	0
13	p12	0
13	p11.2	0
13	p11.1	0
13	q11	0
13	q12.11	0
13	q12.12	0
13	q12.13	0
13	q12.2	0
13	q12.3	0
13	q13.1	0
13	q13.2	0
13	q13.3	0
13	q14.11	0
13	q14.12	0
13	q14.13	0
13	q14.2	0
13	q14.3	0
13	q21.1	0
13	q21.2	0
13	q21.31	0
13	q21.32	0
13	q21.33	0
13	q22.1	0
13	q22.2	0
13	q22.3	0
13	q31.1	0
13	q31.2	0
13	q31.3	0
13	q32.1	0
13	q32.2	0
13	q32.3	0
13	q33.1	0
13	q33.2	0
13	q33.3	0
13	q34	0
14	p13	0
14	p12	0
14	p11.2	0
14	p11.1	0
14	q11.1	0
14	q11.2	0
14	q12	0
14	q13.1	0
14	q13.2	0
14	q13.3	0
14	q21.1	0
14	q21.2	0
14	q21.3	0
14	q22.1	0
14	q22.2	0
14	q22.3	0
14	q23.1	0
14	q23.2	0
14	q23.3	0
14	q24.1	0
14	q24.2	0
14	q24.3	0
14	q31.1	0
14	q31.2	0
14	q31.3	0
14	q32.11	0
14	q32.12	0
14	q32.13	0
14	q32.2	0
14	q32.31	0
14	q32.32	0
14	q32.33	0
15	p13	0
15	p12	0
15	p11.2	0
15	p11.1	0
15	q11.1	0
15	q11.2	0
15	q12	0
15	q13.1	0
15	q13.2	0
15	q13.3	0
15	q14	0
15	q15.1	0
15	q15.2	0
15	q15.3	0
15	q21.1	0
15	q21.2	0
15	q21.3	0
15	q22.1	0
15	q22.2	0
15	q22.31	0
15	q22.32	0
15	q22.33	0
15	q23	0
15	q24.1	0
15	q24.2	0
15	q24.3	0
15	q25.1	0
15	q25.2	0
15	q25.3	0
15	q26.1	0
15	q26.2	0
15	q26.3	0
16	p13.3	0
16	p13.2	0
16	p13.13	0
16	p13.12	0
16	p13.11	0
16	p12.3	0
16	p12.2	0
16	p12.1	0
16	p11.2	0
16	p11.1	0
16	q11.1	0
16	q11.2	0
16	q12.1	0
16	q12.2	0
16	q13	0
16	q21	0
16	q22.1	0
16	q22.2	0
16	q22.3	0
16	q23.1	0
16	q23.2	0
16	q23.3	0
16	q24.1	0
16	q24.2	0
16	q24.3	0
17	p13.3	0
17	p13.2	0
17	p13.1	0
17	p12	0
17	p11.2	0
17	p11.1	0
17	q11.1	0
17	q11.2	0
17	q12	0
17	q21.1	0
17	q21.2	0
17	q21.31	0
17	q21.32	0
17	q21.33	0
17	q22	0
17	q23.1	0
17	q23.2	0
17	q23.3	0
17	q24.1	0
17	q24.2	0
17	q24.3	0
17	q25.1	0
17	q25.2	0
17	q25.3	0
18	p11.32	0
18	p11.31	0
18	p11.23	0
18	p11.22	0
18	p11.21	0
18	p11.1	0
18	q11.1	0
18	q11.2	0
18	q12.1	0
18	q12.2	0
18	q12.3	0
18	q21.1	0
18	q21.2	0
18	q21.31	0
18	q21.32	0
18	q21.33	0
18	q22.1	0
18	q22.2	0
18	q22.3	0
18	q23	0
19	p13.3	0
19	p13.2	0
19	p13.13	0
19	p13.12	0
19	p13.11	0
19	p12	0
19	p11	0
19	q11	0
19	q12	0
19	q13.11	0
19	q13.12	0
19	q13.13	0
19	q13.2	0
19	q13.31	0
19	q13.32	0
19	q13.33	0
19	q13.41	0
19	q13.42	0
19	q13.43	0
20	p13	0
20	p12.3	0
20	p12.2	0
20	p12.1	0
20	p11.23	0
20	p11.22	0
20	p11.21	0
20	p11.1	0
20	q11.1	0
20	q11.21	0
20	q11.22	0
20	q11.23	0
20	q12	0
20	q13.11	0
20	q13.12	0
20	q13.13	0
20	q13.2	0
20	q13.31	0
20	q13.32	0
20	q13.33	0
21	p13	0
21	p12	0
21	p11.2	0
21	p11.1	0
21	q11.1	0
21	q11.2	0
21	q21.1	0
21	q21.2	0
21	q21.3	0
21	q22.11	0
21	q22.12	0
21	q22.13	0
21	q22.2	0
21	q22.3	0
22	p13	0
22	p12	0
22	p11.2	0
22	p11.1	0
22	q11.1	0
22	q11.21	0
22	q11.22	0
22	q11.23	0
22	q12.1	0
22	q12.2	0
22	q12.3	0
22	q13.1	0
22	q13.2	0
22	q13.31	0
22	q13.32	0
22	q13.33	0
X	p22.33	0
X	p22.32	0
X	p22.31	0
X	p22.2	0
X	p22.13	0
X	p22.12	0
X	p22.11	0
X	p21.3	0
X	p21.2	0
X	p21.1	0
X	p11.4	0
X	p11.3	0
X	p11.23	0
X	p11.22	0
X	p11.21	0
X	p11.1	0
X	q11.1	0
X	q11.2	0
X	q12	0
X	q13.1	0
X	q13.2	0
X	q13.3	0
X	q21.1	0
X	q21.2	0
X	q21.31	0
X	q21.32	0
X	q21.33	0
X	q22.1	0
X	q22.2	0
X	q22.3	0
X	q23	0
X	q24	0
X	q25	0
X	q26.1	0
X	q26.2	0
X	q26.3	0
X	q27.1	0
X	q27.2	0
X	q27.3	0
X	q28	0
Y	p11.32	0
Y	p11.31	0
Y	p11.2	0
Y	p11.1	0
Y	q11.1	0
Y	q11.21	0
Y	q11.221	0
Y	q11.222	0
Y	q11.223	0
Y	q11.23	0
Y	q12	0
unmapped	unmapped	711582514
